Z',"Z""",Bias
5.62E+03,1.97E+03,0.1
5.82E+03,2.45E+03,0.1
5.99E+03,2.85E+03,0.1
6.16E+03,3.37E+03,0.1
6.41E+03,3.96E+03,0.1
6.67E+03,4.70E+03,0.1
6.93E+03,5.64E+03,0.1
7.19E+03,6.74E+03,0.1
7.56E+03,8.13E+03,0.1
7.87E+03,9.89E+03,0.1
8.21E+03,1.21E+04,0.1
8.65E+03,1.47E+04,0.1
9.19E+03,1.81E+04,0.1
9.91E+03,2.23E+04,0.1
1.07E+04,2.74E+04,0.1
1.21E+04,3.39E+04,0.1
1.38E+04,4.18E+04,0.1
1.71E+04,5.46E+04,0.1
2.14E+04,6.69E+04,0.1
2.67E+04,8.13E+04,0.1
3.44E+04,9.95E+04,0.1
4.54E+04,1.20E+05,0.1
6.05E+04,1.44E+05,0.1
7.97E+04,1.69E+05,0.1
1.06E+05,1.98E+05,0.1
1.40E+05,2.28E+05,0.1
1.84E+05,2.55E+05,0.1
2.51E+05,2.90E+05,0.1
3.12E+05,3.00E+05,0.1
3.75E+05,3.02E+05,0.1
4.35E+05,2.89E+05,0.1
4.89E+05,2.71E+05,0.1
5.35E+05,2.48E+05,0.1
5.72E+05,2.25E+05,0.1
6.02E+05,2.00E+05,0.1
6.28E+05,1.79E+05,0.1
6.48E+05,1.58E+05,0.1
6.67E+05,1.42E+05,0.1
6.82E+05,1.27E+05,0.1
6.96E+05,1.14E+05,0.1
7.11E+05,1.02E+05,0.1
7.21E+05,9.38E+04,0.1
7.38E+05,8.89E+04,0.1
6.55E+05,1.08E+04,0.1
7.52E+05,6.64E+04,0.1
7.57E+05,5.66E+04,0.1
7.66E+05,5.51E+04,0.1
7.71E+05,4.91E+04,0.1
7.69E+05,4.13E+04,0.1
7.79E+05,4.12E+04,0.1
7.87E+05,3.72E+04,0.1
7.89E+05,3.77E+04,0.1
7.96E+05,3.21E+04,0.1
7.96E+05,3.01E+04,0.1
7.99E+05,2.70E+04,0.1
8.03E+05,2.60E+04,0.1
8.01E+05,2.42E+04,0.1
8.24E+05,1.79E+04,0.1
8.24E+05,2.73E+04,0.1
8.33E+05,2.63E+04,0.1
8.38E+05,1.66E+04,0.1
5.60E+03,2.06E+03,0.2
5.79E+03,2.44E+03,0.2
6.02E+03,2.87E+03,0.2
6.26E+03,3.42E+03,0.2
6.44E+03,4.06E+03,0.2
6.68E+03,4.77E+03,0.2
6.95E+03,5.70E+03,0.2
7.27E+03,6.82E+03,0.2
7.55E+03,8.27E+03,0.2
7.95E+03,1.00E+04,0.2
8.31E+03,1.22E+04,0.2
8.72E+03,1.49E+04,0.2
9.39E+03,1.83E+04,0.2
1.01E+04,2.25E+04,0.2
1.11E+04,2.77E+04,0.2
1.27E+04,3.42E+04,0.2
1.46E+04,4.22E+04,0.2
1.86E+04,5.47E+04,0.2
2.32E+04,6.72E+04,0.2
2.97E+04,8.14E+04,0.2
3.89E+04,9.85E+04,0.2
5.15E+04,1.18E+05,0.2
6.80E+04,1.38E+05,0.2
8.97E+04,1.61E+05,0.2
1.19E+05,1.84E+05,0.2
1.53E+05,2.06E+05,0.2
1.96E+05,2.21E+05,0.2
2.42E+05,2.32E+05,0.2
3.09E+05,2.41E+05,0.2
3.56E+05,2.34E+05,0.2
4.00E+05,2.15E+05,0.2
4.35E+05,1.95E+05,0.2
4.64E+05,1.76E+05,0.2
4.87E+05,1.55E+05,0.2
5.03E+05,1.39E+05,0.2
5.19E+05,1.25E+05,0.2
5.34E+05,1.12E+05,0.2
5.45E+05,1.02E+05,0.2
5.57E+05,9.62E+04,0.2
5.69E+05,8.82E+04,0.2
5.81E+05,8.29E+04,0.2
5.89E+05,7.83E+04,0.2
5.89E+05,7.83E+04,0.2
7.00E+05,5.66E+04,0.2
6.20E+05,6.88E+04,0.2
6.33E+05,7.05E+04,0.2
6.39E+05,6.24E+04,0.2
6.46E+05,5.99E+04,0.2
6.57E+05,5.81E+04,0.2
6.61E+05,5.16E+04,0.2
6.68E+05,5.06E+04,0.2
6.70E+05,4.49E+04,0.2
6.82E+05,4.64E+04,0.2
6.87E+05,4.48E+04,0.2
6.92E+05,4.00E+04,0.2
7.01E+05,4.01E+04,0.2
7.09E+05,3.69E+04,0.2
7.04E+05,3.67E+04,0.2
7.16E+05,3.21E+04,0.2
7.19E+05,4.37E+04,0.2
7.27E+05,3.89E+04,0.2
5.71E+03,2.12E+03,0.3
5.90E+03,2.56E+03,0.3
6.13E+03,3.03E+03,0.3
6.35E+03,3.51E+03,0.3
6.59E+03,4.20E+03,0.3
6.86E+03,5.00E+03,0.3
7.13E+03,5.95E+03,0.3
7.45E+03,7.12E+03,0.3
7.80E+03,8.60E+03,0.3
8.15E+03,1.04E+04,0.3
8.60E+03,1.27E+04,0.3
9.14E+03,1.55E+04,0.3
9.88E+03,1.90E+04,0.3
1.08E+04,2.33E+04,0.3
1.20E+04,2.87E+04,0.3
1.37E+04,3.55E+04,0.3
1.61E+04,4.34E+04,0.3
2.09E+04,5.61E+04,0.3
2.66E+04,6.80E+04,0.3
3.42E+04,8.17E+04,0.3
4.55E+04,9.75E+04,0.3
6.00E+04,1.15E+05,0.3
7.81E+04,1.33E+05,0.3
1.02E+05,1.50E+05,0.3
1.30E+05,1.66E+05,0.3
1.65E+05,1.78E+05,0.3
2.03E+05,1.86E+05,0.3
2.40E+05,1.86E+05,0.3
2.76E+05,1.80E+05,0.3
3.26E+05,1.73E+05,0.3
3.58E+05,1.55E+05,0.3
3.79E+05,1.38E+05,0.3
3.95E+05,1.21E+05,0.3
4.07E+05,1.06E+05,0.3
4.19E+05,9.61E+04,0.3
4.28E+05,8.72E+04,0.3
4.38E+05,7.88E+04,0.3
4.46E+05,7.47E+04,0.3
4.53E+05,7.14E+04,0.3
4.61E+05,6.83E+04,0.3
4.67E+05,6.54E+04,0.3
4.78E+05,6.59E+04,0.3
4.92E+05,6.60E+04,0.3
4.48E+05,5.50E+04,0.3
5.05E+05,6.62E+04,0.3
5.13E+05,6.43E+04,0.3
5.24E+05,6.48E+04,0.3
5.36E+05,6.53E+04,0.3
5.44E+05,6.39E+04,0.3
5.55E+05,6.06E+04,0.3
5.67E+05,6.42E+04,0.3
5.80E+05,6.44E+04,0.3
5.85E+05,6.04E+04,0.3
5.96E+05,5.31E+04,0.3
5.99E+05,5.16E+04,0.3
6.09E+05,5.87E+04,0.3
6.05E+05,5.44E+04,0.3
6.19E+05,4.97E+04,0.3
6.41E+05,5.50E+04,0.3
6.47E+05,4.68E+04,0.3
6.60E+05,5.16E+04,0.3
5.80E+03,2.25E+03,0.4
5.99E+03,2.66E+03,0.4
6.26E+03,3.16E+03,0.4
6.46E+03,3.74E+03,0.4
6.68E+03,4.42E+03,0.4
6.97E+03,5.22E+03,0.4
7.28E+03,6.25E+03,0.4
7.64E+03,7.53E+03,0.4
7.99E+03,9.11E+03,0.4
8.46E+03,1.10E+04,0.4
8.99E+03,1.34E+04,0.4
9.67E+03,1.63E+04,0.4
1.05E+04,2.00E+04,0.4
1.16E+04,2.45E+04,0.4
1.30E+04,3.01E+04,0.4
1.52E+04,3.71E+04,0.4
1.93E+04,4.81E+04,0.4
2.40E+04,5.80E+04,0.4
3.13E+04,6.98E+04,0.4
4.02E+04,8.29E+04,0.4
5.32E+04,9.72E+04,0.4
6.96E+04,1.12E+05,0.4
8.99E+04,1.26E+05,0.4
1.13E+05,1.38E+05,0.4
1.42E+05,1.48E+05,0.4
1.72E+05,1.53E+05,0.4
2.03E+05,1.53E+05,0.4
2.33E+05,1.50E+05,0.4
2.60E+05,1.42E+05,0.4
2.79E+05,1.32E+05,0.4
3.04E+05,1.22E+05,0.4
3.22E+05,1.09E+05,0.4
3.36E+05,9.96E+04,0.4
3.49E+05,8.92E+04,0.4
3.58E+05,7.96E+04,0.4
3.65E+05,7.24E+04,0.4
3.74E+05,6.65E+04,0.4
3.83E+05,6.22E+04,0.4
3.88E+05,6.09E+04,0.4
3.95E+05,5.88E+04,0.4
4.01E+05,6.07E+04,0.4
4.10E+05,5.90E+04,0.4
4.16E+05,5.75E+04,0.4
4.36E+05,1.01E+05,0.4
4.33E+05,6.09E+04,0.4
4.40E+05,6.40E+04,0.4
4.50E+05,6.46E+04,0.4
4.62E+05,6.37E+04,0.4
4.68E+05,6.92E+04,0.4
4.83E+05,6.55E+04,0.4
4.90E+05,6.90E+04,0.4
5.03E+05,6.91E+04,0.4
5.08E+05,6.89E+04,0.4
5.21E+05,6.93E+04,0.4
5.35E+05,7.34E+04,0.4
5.49E+05,6.78E+04,0.4
5.55E+05,6.39E+04,0.4
5.71E+05,6.02E+04,0.4
5.85E+05,5.40E+04,0.4
5.85E+05,6.36E+04,0.4
5.92E+05,5.33E+04,0.4
5.77E+03,2.39E+03,0.5
6.09E+03,2.85E+03,0.5
6.26E+03,3.34E+03,0.5
6.50E+03,3.91E+03,0.5
6.79E+03,4.64E+03,0.5
7.06E+03,5.56E+03,0.5
7.39E+03,6.66E+03,0.5
7.77E+03,7.99E+03,0.5
8.18E+03,9.66E+03,0.5
8.72E+03,1.17E+04,0.5
9.34E+03,1.42E+04,0.5
1.01E+04,1.74E+04,0.5
1.12E+04,2.12E+04,0.5
1.27E+04,2.60E+04,0.5
1.45E+04,3.17E+04,0.5
1.73E+04,3.87E+04,0.5
2.21E+04,4.98E+04,0.5
2.77E+04,5.98E+04,0.5
3.61E+04,7.10E+04,0.5
4.64E+04,8.28E+04,0.5
6.07E+04,9.55E+04,0.5
7.78E+04,1.07E+05,0.5
9.78E+04,1.17E+05,0.5
1.21E+05,1.25E+05,0.5
1.46E+05,1.30E+05,0.5
1.72E+05,1.32E+05,0.5
1.98E+05,1.29E+05,0.5
2.22E+05,1.24E+05,0.5
2.44E+05,1.15E+05,0.5
2.63E+05,1.06E+05,0.5
2.77E+05,9.43E+04,0.5
2.91E+05,8.69E+04,0.5
3.02E+05,7.88E+04,0.5
3.07E+05,7.12E+04,0.5
3.18E+05,6.32E+04,0.5
3.26E+05,6.03E+04,0.5
3.31E+05,5.48E+04,0.5
3.36E+05,5.29E+04,0.5
3.42E+05,4.98E+04,0.5
3.47E+05,4.86E+04,0.5
3.55E+05,4.93E+04,0.5
3.59E+05,4.94E+04,0.5
3.65E+05,5.20E+04,0.5
3.97E+05,3.05E+04,0.5
3.79E+05,5.33E+04,0.5
3.92E+05,5.61E+04,0.5
3.96E+05,5.72E+04,0.5
4.07E+05,5.81E+04,0.5
4.15E+05,6.10E+04,0.5
4.22E+05,6.04E+04,0.5
4.41E+05,6.45E+04,0.5
4.46E+05,6.15E+04,0.5
4.56E+05,6.97E+04,0.5
4.67E+05,6.45E+04,0.5
4.85E+05,7.10E+04,0.5
4.85E+05,7.13E+04,0.5
4.99E+05,6.68E+04,0.5
5.03E+05,6.28E+04,0.5
5.12E+05,7.16E+04,0.5
5.22E+05,7.62E+04,0.5
5.39E+05,6.27E+04,0.5
5.99E+03,2.55E+03,0.6
6.20E+03,2.99E+03,0.6
6.43E+03,3.55E+03,0.6
6.73E+03,4.25E+03,0.6
6.97E+03,5.02E+03,0.6
7.30E+03,5.95E+03,0.6
7.67E+03,7.14E+03,0.6
8.06E+03,8.57E+03,0.6
8.59E+03,1.03E+04,0.6
9.09E+03,1.25E+04,0.6
9.88E+03,1.53E+04,0.6
1.08E+04,1.86E+04,0.6
1.21E+04,2.27E+04,0.6
1.37E+04,2.75E+04,0.6
1.61E+04,3.34E+04,0.6
1.94E+04,4.06E+04,0.6
2.51E+04,5.19E+04,0.6
3.19E+04,6.13E+04,0.6
4.14E+04,7.20E+04,0.6
5.28E+04,8.26E+04,0.6
6.78E+04,9.27E+04,0.6
8.58E+04,1.02E+05,0.6
1.05E+05,1.10E+05,0.6
1.27E+05,1.14E+05,0.6
1.49E+05,1.16E+05,0.6
1.72E+05,1.14E+05,0.6
1.94E+05,1.09E+05,0.6
2.12E+05,1.04E+05,0.6
2.30E+05,9.61E+04,0.6
2.43E+05,8.38E+04,0.6
2.57E+05,7.90E+04,0.6
2.67E+05,7.10E+04,0.6
2.76E+05,6.38E+04,0.6
2.86E+05,5.58E+04,0.6
2.91E+05,5.19E+04,0.6
2.95E+05,4.88E+04,0.6
3.00E+05,4.60E+04,0.6
3.05E+05,4.24E+04,0.6
3.11E+05,4.20E+04,0.6
3.15E+05,4.23E+04,0.6
3.20E+05,4.17E+04,0.6
3.25E+05,4.21E+04,0.6
3.31E+05,4.24E+04,0.6
3.51E+05,2.28E+04,0.6
3.41E+05,4.57E+04,0.6
3.48E+05,4.75E+04,0.6
3.56E+05,4.88E+04,0.6
3.64E+05,5.12E+04,0.6
3.71E+05,5.18E+04,0.6
3.80E+05,5.54E+04,0.6
3.89E+05,5.49E+04,0.6
4.00E+05,5.77E+04,0.6
4.07E+05,5.95E+04,0.6
4.13E+05,5.31E+04,0.6
4.23E+05,5.70E+04,0.6
4.34E+05,6.15E+04,0.6
4.37E+05,5.71E+04,0.6
4.59E+05,5.42E+04,0.6
4.62E+05,6.66E+04,0.6
4.71E+05,6.10E+04,0.6
4.91E+05,7.14E+04,0.6
6.15E+03,2.70E+03,0.7
6.37E+03,3.19E+03,0.7
6.60E+03,3.80E+03,0.7
6.88E+03,4.49E+03,0.7
7.25E+03,5.38E+03,0.7
7.55E+03,6.40E+03,0.7
7.99E+03,7.72E+03,0.7
8.45E+03,9.28E+03,0.7
9.02E+03,1.11E+04,0.7
9.73E+03,1.35E+04,0.7
1.05E+04,1.63E+04,0.7
1.17E+04,2.00E+04,0.7
1.32E+04,2.42E+04,0.7
1.53E+04,2.93E+04,0.7
1.82E+04,3.56E+04,0.7
2.29E+04,4.52E+04,0.7
2.89E+04,5.39E+04,0.7
3.67E+04,6.29E+04,0.7
4.70E+04,7.27E+04,0.7
5.95E+04,8.21E+04,0.7
7.47E+04,9.04E+04,0.7
9.28E+04,9.71E+04,0.7
1.13E+05,1.02E+05,0.7
1.32E+05,1.04E+05,0.7
1.51E+05,1.04E+05,0.7
1.71E+05,1.01E+05,0.7
1.88E+05,9.47E+04,0.7
2.05E+05,8.98E+04,0.7
2.19E+05,8.27E+04,0.7
2.31E+05,7.33E+04,0.7
2.40E+05,6.72E+04,0.7
2.50E+05,5.87E+04,0.7
2.56E+05,5.40E+04,0.7
2.62E+05,4.77E+04,0.7
2.68E+05,4.39E+04,0.7
2.72E+05,4.16E+04,0.7
2.76E+05,3.86E+04,0.7
2.80E+05,3.72E+04,0.7
2.84E+05,3.53E+04,0.7
2.89E+05,3.52E+04,0.7
2.92E+05,3.50E+04,0.7
2.99E+05,3.62E+04,0.7
3.00E+05,3.56E+04,0.7
3.28E+05,3.06E+04,0.7
3.13E+05,4.07E+04,0.7
3.20E+05,4.20E+04,0.7
3.27E+05,4.07E+04,0.7
3.33E+05,4.51E+04,0.7
3.39E+05,4.79E+04,0.7
3.48E+05,5.24E+04,0.7
3.53E+05,5.64E+04,0.7
3.67E+05,5.23E+04,0.7
3.72E+05,5.18E+04,0.7
3.80E+05,5.53E+04,0.7
3.94E+05,5.92E+04,0.7
3.98E+05,4.96E+04,0.7
4.09E+05,5.32E+04,0.7
4.17E+05,5.73E+04,0.7
4.16E+05,5.49E+04,0.7
4.22E+05,5.63E+04,0.7
4.38E+05,5.69E+04,0.7
6.23E+03,2.94E+03,0.8
6.48E+03,3.51E+03,0.8
6.72E+03,4.18E+03,0.8
7.09E+03,4.97E+03,0.8
7.41E+03,5.88E+03,0.8
7.84E+03,6.96E+03,0.8
8.27E+03,8.44E+03,0.8
8.80E+03,1.01E+04,0.8
9.52E+03,1.22E+04,0.8
1.04E+04,1.48E+04,0.8
1.15E+04,1.79E+04,0.8
1.29E+04,2.17E+04,0.8
1.49E+04,2.62E+04,0.8
1.74E+04,3.17E+04,0.8
2.07E+04,3.78E+04,0.8
2.67E+04,4.78E+04,0.8
3.37E+04,5.63E+04,0.8
4.25E+04,6.50E+04,0.8
5.39E+04,7.35E+04,0.8
6.68E+04,8.10E+04,0.8
8.30E+04,8.78E+04,0.8
1.00E+05,9.21E+04,0.8
1.17E+05,9.47E+04,0.8
1.36E+05,9.47E+04,0.8
1.54E+05,9.26E+04,0.8
1.71E+05,8.81E+04,0.8
1.86E+05,8.24E+04,0.8
